Input size		- (48x48)
Calculated block dimensions as: 1 x 1
Element # 65 of CPU resize: 198.92640686
Element # 66 of GPU resize: 185.80815125
Element # 66 of CPU resize: 185.80815125
Element # 67 of GPU resize: 147.61940002
Element # 67 of CPU resize: 147.61940002
Element # 68 of GPU resize: 88.65994263
Element # 68 of CPU resize: 88.65994263
Element # 69 of GPU resize: 49.17951965
Element # 69 of CPU resize: 49.17951965
Element # 70 of GPU resize: 0.00000000
Element # 70 of CPU resize: 0.00000000
Element # 71 of GPU resize: 0.00000000
Element # 71 of CPU resize: 0.00000000
Element # 72 of GPU resize: 131.92123413
Element # 72 of CPU resize: 131.92123413
Element # 73 of GPU resize: 195.81979370
Element # 73 of CPU resize: 195.81979370
Element # 74 of GPU resize: 196.78530884
Element # 74 of CPU resize: 196.78530884
Element # 75 of GPU resize: 196.87226868
Element # 75 of CPU resize: 196.87226868
Element # 76 of GPU resize: 194.53553772
Element # 76 of CPU resize: 194.53553772
Element # 77 of GPU resize: 180.73251343
Element # 77 of CPU resize: 180.73251343
Element # 78 of GPU resize: 179.85232544
Element # 78 of CPU resize: 179.85232544
Element # 79 of GPU resize: 195.81655884
Element # 79 of CPU resize: 195.81655884
Element # 80 of GPU resize: 201.74884033
Element # 80 of CPU resize: 201.74884033
Element # 81 of GPU resize: 202.51045227
Element # 81 of CPU resize: 202.51045227
Element # 82 of GPU resize: 201.46676636
Element # 82 of CPU resize: 201.46676636
Element # 83 of GPU resize: 200.72499084
Element # 83 of CPU resize: 200.72499084
Element # 84 of GPU resize: 201.45349121
Element # 84 of CPU resize: 201.45349121
Element # 85 of GPU resize: 202.40347290
Element # 85 of CPU resize: 202.40347290
Element # 86 of GPU resize: 202.52185059
Element # 86 of CPU resize: 202.52185059
Element # 87 of GPU resize: 201.68594360
Element # 87 of CPU resize: 201.68594360
Element # 88 of GPU resize: 199.90020752
Element # 88 of CPU resize: 199.90020752
Element # 89 of GPU resize: 192.52624512
Element # 89 of CPU resize: 192.52624512
Element # 90 of GPU resize: 170.54525757
Element # 90 of CPU resize: 170.54525757
Element # 91 of GPU resize: 131.68836975
Element # 91 of CPU resize: 131.68836975
Element # 92 of GPU resize: 85.14680481
Element # 92 of CPU resize: 85.14680481
Element # 93 of GPU resize: 51.90353394
Element # 93 of CPU resize: 51.90353394
Element # 94 of GPU resize: 0.00000000
Element # 94 of CPU resize: 0.00000000
Element # 95 of GPU resize: 0.00000000
Element # 95 of CPU resize: 0.00000000
Element # 96 of GPU resize: 127.23493958
Element # 96 of CPU resize: 127.23493958
Element # 97 of GPU resize: 191.12203979
Element # 97 of CPU resize: 191.12203979
Element # 98 of GPU resize: 193.52447510
Element # 98 of CPU resize: 193.52447510
Element # 99 of GPU resize: 194.29180908
Element # 99 of CPU resize: 194.29180908
Element # 100 of GPU resize: 190.81291199
Element # 100 of CPU resize: 190.81291199
Element # 101 of GPU resize: 171.22506714
Element # 101 of CPU resize: 171.22506714
Element # 102 of GPU resize: 170.02914429
Element # 102 of CPU resize: 170.02914429
Element # 103 of GPU resize: 190.70095825
Element # 103 of CPU resize: 190.70095825
Element # 104 of GPU resize: 199.09954834
Element # 104 of CPU resize: 199.09954834
Element # 105 of GPU resize: 199.84410095
Element # 105 of CPU resize: 199.84410095
Element # 106 of GPU resize: 192.37017822
Element # 106 of CPU resize: 192.37017822
Element # 107 of GPU resize: 184.44914246
Element # 107 of CPU resize: 184.44914246
Element # 108 of GPU resize: 193.00952148
Element # 108 of CPU resize: 193.00952148
Element # 109 of GPU resize: 199.22262573
Element # 109 of CPU resize: 199.22262573
Element # 110 of GPU resize: 199.73336792
Element # 110 of CPU resize: 199.73336792
Element # 111 of GPU resize: 196.82089233
Element # 111 of CPU resize: 196.82089233
Element # 112 of GPU resize: 191.03985596
Element # 112 of CPU resize: 191.03985596
Element # 113 of GPU resize: 172.31625366
Element # 113 of CPU resize: 172.31625366
Element # 114 of GPU resize: 138.85748291
Element # 114 of CPU resize: 138.85748291
Element # 115 of GPU resize: 108.90924072
Element # 115 of CPU resize: 108.90924072
Element # 116 of GPU resize: 74.86317444
Element # 116 of CPU resize: 74.86317444
Element # 117 of GPU resize: 53.56044006
Element # 117 of CPU resize: 53.56044006
Element # 118 of GPU resize: 0.00000000
Element # 118 of CPU resize: 0.00000000
Element # 119 of GPU resize: 0.00000000
Element # 119 of CPU resize: 0.00000000
Element # 120 of GPU resize: 120.89093018
Element # 120 of CPU resize: 120.89093018
Element # 121 of GPU resize: 184.48287964
Element # 121 of CPU resize: 184.48287964
Element # 122 of GPU resize: 189.20907593
Element # 122 of CPU resize: 189.20907593
Element # 123 of GPU resize: 190.05911255
Element # 123 of CPU resize: 190.05911255
Element # 124 of GPU resize: 186.67901611
Element # 124 of CPU resize: 186.67901611
Element # 125 of GPU resize: 169.39649963
Element # 125 of CPU resize: 169.39649963
Element # 126 of GPU resize: 168.30062866
Element # 126 of CPU resize: 168.30062866
Element # 127 of GPU resize: 187.73411560
Element # 127 of CPU resize: 187.73411560
Element # 128 of GPU resize: 196.70146179
Element # 128 of CPU resize: 196.70146179
Element # 129 of GPU resize: 196.88340759
Element # 129 of CPU resize: 196.88340759
Element # 130 of GPU resize: 181.42231750
Element # 130 of CPU resize: 181.42231750
Element # 131 of GPU resize: 162.53086853
Element # 131 of CPU resize: 162.53086853
Element # 132 of GPU resize: 178.42247009
Element # 132 of CPU resize: 178.42247009
Element # 133 of GPU resize: 194.34228516
Element # 133 of CPU resize: 194.34228516
Element # 134 of GPU resize: 196.01744080
Element # 134 of CPU resize: 196.01744080
Element # 135 of GPU resize: 183.77029419
Element # 135 of CPU resize: 183.77029419
Element # 136 of GPU resize: 166.63156128
Element # 136 of CPU resize: 166.63156128
Element # 137 of GPU resize: 145.48954773
Element # 137 of CPU resize: 145.48954773
Element # 138 of GPU resize: 117.13218689
Element # 138 of CPU resize: 117.13218689
Element # 139 of GPU resize: 88.92234802
Element # 139 of CPU resize: 88.92234802
Element # 140 of GPU resize: 60.23170471
Element # 140 of CPU resize: 60.23170471
Element # 141 of GPU resize: 57.76593018
Element # 141 of CPU resize: 57.76593018
Element # 142 of GPU resize: 0.00000000
Element # 142 of CPU resize: 0.00000000
Element # 143 of GPU resize: 0.00000000
Element # 143 of CPU resize: 0.00000000
Element # 144 of GPU resize: 113.22639465
Element # 144 of CPU resize: 113.22639465
Element # 145 of GPU resize: 175.85227966
Element # 145 of CPU resize: 175.85227966
Element # 146 of GPU resize: 183.75776672
Element # 146 of CPU resize: 183.75776672
Element # 147 of GPU resize: 185.45434570
Element # 147 of CPU resize: 185.45434570
Element # 148 of GPU resize: 184.48239136
Element # 148 of CPU resize: 184.48239136
Element # 149 of GPU resize: 176.50810242
Element # 149 of CPU resize: 176.50810242
Element # 150 of GPU resize: 176.52845764
Element # 150 of CPU resize: 176.52845764
Element # 151 of GPU resize: 187.64199829
Element # 151 of CPU resize: 187.64199829
Element # 152 of GPU resize: 193.85435486
Element # 152 of CPU resize: 193.85435486
Element # 153 of GPU resize: 194.05563354
Element # 153 of CPU resize: 194.05563354
Element # 154 of GPU resize: 180.50936890
Element # 154 of CPU resize: 180.50936890
Element # 155 of GPU resize: 156.86657715
Element # 155 of CPU resize: 156.86657715
Element # 156 of GPU resize: 164.29461670
Element # 156 of CPU resize: 164.29461670
Element # 157 of GPU resize: 182.26107788
Element # 157 of CPU resize: 182.26107788
Element # 158 of GPU resize: 188.08645630
Element # 158 of CPU resize: 188.08645630
Element # 159 of GPU resize: 168.04374695
Element # 159 of CPU resize: 168.04374695
Element # 160 of GPU resize: 143.16325378
Element # 160 of CPU resize: 143.16325378
Element # 161 of GPU resize: 126.90051270
Element # 161 of CPU resize: 126.90051270
Element # 162 of GPU resize: 101.06982422
Element # 162 of CPU resize: 101.06982422
Element # 163 of GPU resize: 68.13581848
Element # 163 of CPU resize: 68.13581848
Element # 164 of GPU resize: 49.22677612
Element # 164 of CPU resize: 49.22677612
Element # 165 of GPU resize: 63.61825562
Element # 165 of CPU resize: 63.61825562
Element # 166 of GPU resize: 0.00000000
Element # 166 of CPU resize: 0.00000000
Element # 167 of GPU resize: 0.00000000
Element # 167 of CPU resize: 0.00000000
Element # 168 of GPU resize: 104.73385620
Element # 168 of CPU resize: 104.73385620
Element # 169 of GPU resize: 164.93888855
Element # 169 of CPU resize: 164.93888855
Element # 170 of GPU resize: 176.56353760
Element # 170 of CPU resize: 176.56353760
Element # 171 of GPU resize: 180.52421570
Element # 171 of CPU resize: 180.52421570
Element # 172 of GPU resize: 182.47445679
Element # 172 of CPU resize: 182.47445679
Element # 173 of GPU resize: 182.82702637
Element # 173 of CPU resize: 182.82702637
Element # 174 of GPU resize: 183.81518555
Element # 174 of CPU resize: 183.81518555
Element # 175 of GPU resize: 187.49922180
Element # 175 of CPU resize: 187.49922180
Element # 176 of GPU resize: 190.55326843
Element # 176 of CPU resize: 190.55326843
Element # 177 of GPU resize: 191.42013550
Element # 177 of CPU resize: 191.42013550
Element # 178 of GPU resize: 185.66989136
Element # 178 of CPU resize: 185.66989136
Element # 179 of GPU resize: 168.50386047
Element # 179 of CPU resize: 168.50386047
Element # 180 of GPU resize: 158.24266052
Element # 180 of CPU resize: 158.24266052
Element # 181 of GPU resize: 161.12251282
Element # 181 of CPU resize: 161.12251282
Element # 182 of GPU resize: 175.63809204
Element # 182 of CPU resize: 175.63809204
Element # 183 of GPU resize: 158.47952271
Element # 183 of CPU resize: 158.47952271
Element # 184 of GPU resize: 127.95498657
Element # 184 of CPU resize: 127.95498657
Element # 185 of GPU resize: 102.59283447
Element # 185 of CPU resize: 102.59283447
Element # 186 of GPU resize: 73.43576050
Element # 186 of CPU resize: 73.43576050
Element # 187 of GPU resize: 52.41363525
Element # 187 of CPU resize: 52.41363525
Element # 188 of GPU resize: 52.35362244
Element # 188 of CPU resize: 52.35362244
Element # 189 of GPU resize: 73.64308167
Element # 189 of CPU resize: 73.64308167
Element # 190 of GPU resize: 0.00000000
Element # 190 of CPU resize: 0.00000000
Element # 191 of GPU resize: 0.00000000
Element # 191 of CPU resize: 0.00000000
Element # 192 of GPU resize: 96.60186768
Element # 192 of CPU resize: 96.60186768
Element # 193 of GPU resize: 151.55117798
Element # 193 of CPU resize: 151.55117798
Element # 194 of GPU resize: 166.46432495
Element # 194 of CPU resize: 166.46432495
Element # 195 of GPU resize: 174.56864929
Element # 195 of CPU resize: 174.56864929
Element # 196 of GPU resize: 178.09037781
Element # 196 of CPU resize: 178.09037781
Element # 197 of GPU resize: 180.59771729
Element # 197 of CPU resize: 180.59771729
Element # 198 of GPU resize: 182.54759216
Element # 198 of CPU resize: 182.54759216
Element # 199 of GPU resize: 184.98237610
Element # 199 of CPU resize: 184.98237610
Element # 200 of GPU resize: 187.17343140
Element # 200 of CPU resize: 187.17343140
Element # 201 of GPU resize: 188.59149170
Element # 201 of CPU resize: 188.59149170
Element # 202 of GPU resize: 187.92323303
Element # 202 of CPU resize: 187.92323303
Element # 203 of GPU resize: 177.62431335
Element # 203 of CPU resize: 177.62431335
Element # 204 of GPU resize: 154.87614441
Element # 204 of CPU resize: 154.87614441
Element # 205 of GPU resize: 153.86524963
Element # 205 of CPU resize: 153.86524963
Element # 206 of GPU resize: 169.04316711
Element # 206 of CPU resize: 169.04316711
Element # 207 of GPU resize: 146.71440125
Element # 207 of CPU resize: 146.71440125
Element # 208 of GPU resize: 105.35447693
Element # 208 of CPU resize: 105.35447693
Element # 209 of GPU resize: 69.53170776
Element # 209 of CPU resize: 69.53170776
Element # 210 of GPU resize: 49.04879761
Element # 210 of CPU resize: 49.04879761
Element # 211 of GPU resize: 50.06718445
Element # 211 of CPU resize: 50.06718445
Element # 212 of GPU resize: 74.31536865
Element # 212 of CPU resize: 74.31536865
Element # 213 of GPU resize: 99.38049316
Element # 213 of CPU resize: 99.38049316
Element # 214 of GPU resize: 0.00000000
Element # 214 of CPU resize: 0.00000000
Element # 215 of GPU resize: 0.00000000
Element # 215 of CPU resize: 0.00000000
Element # 216 of GPU resize: 91.11862183
Element # 216 of CPU resize: 91.11862183
Element # 217 of GPU resize: 138.72834778
Element # 217 of CPU resize: 138.72834778
Element # 218 of GPU resize: 153.05513000
Element # 218 of CPU resize: 153.05513000
Element # 219 of GPU resize: 166.40829468
Element # 219 of CPU resize: 166.40829468
Element # 220 of GPU resize: 172.83761597
Element # 220 of CPU resize: 172.83761597
Element # 221 of GPU resize: 175.90045166
Element # 221 of CPU resize: 175.90045166
Element # 222 of GPU resize: 178.46441650
Element # 222 of CPU resize: 178.46441650
Element # 223 of GPU resize: 180.76734924
Element # 223 of CPU resize: 180.76734924
Element # 224 of GPU resize: 179.86651611
Element # 224 of CPU resize: 179.86651611
Element # 225 of GPU resize: 179.63232422
Element # 225 of CPU resize: 179.63232422
Element # 226 of GPU resize: 183.18778992
Element # 226 of CPU resize: 183.18778992
Element # 227 of GPU resize: 175.40754700
Element # 227 of CPU resize: 175.40754700
Element # 228 of GPU resize: 157.43556213
Element # 228 of CPU resize: 157.43556213
Element # 229 of GPU resize: 160.32040405
Element # 229 of CPU resize: 160.32040405
Element # 230 of GPU resize: 161.58322144
Element # 230 of CPU resize: 161.58322144
Element # 231 of GPU resize: 128.51835632
Element # 231 of CPU resize: 128.51835632
Element # 232 of GPU resize: 80.99339294
Element # 232 of CPU resize: 80.99339294
Element # 233 of GPU resize: 46.81813049
Element # 233 of CPU resize: 46.81813049
Element # 234 of GPU resize: 41.70887756
Element # 234 of CPU resize: 41.70887756
Element # 235 of GPU resize: 63.77316284
Element # 235 of CPU resize: 63.77316284
Element # 236 of GPU resize: 105.82041931
Element # 236 of CPU resize: 105.82041931
Element # 237 of GPU resize: 126.29588318
Element # 237 of CPU resize: 126.29588318
Element # 238 of GPU resize: 0.00000000
Element # 238 of CPU resize: 0.00000000
Element # 239 of GPU resize: 0.00000000
Element # 239 of CPU resize: 0.00000000
Element # 240 of GPU resize: 88.36466980
Element # 240 of CPU resize: 88.36466980
Element # 241 of GPU resize: 130.69200134
Element # 241 of CPU resize: 130.69200134
Element # 242 of GPU resize: 139.25770569
Element # 242 of CPU resize: 139.25770569
Element # 243 of GPU resize: 154.02566528
Element # 243 of CPU resize: 154.02566528
Element # 244 of GPU resize: 165.52111816
Element # 244 of CPU resize: 165.52111816
Element # 245 of GPU resize: 170.33160400
Element # 245 of CPU resize: 170.33160400
Element # 246 of GPU resize: 172.99458313
Element # 246 of CPU resize: 172.99458313
Element # 247 of GPU resize: 174.20463562
Element # 247 of CPU resize: 174.20463562
Element # 248 of GPU resize: 164.61862183
Element # 248 of CPU resize: 164.61862183
Element # 249 of GPU resize: 157.31666565
Element # 249 of CPU resize: 157.31666565
Element # 250 of GPU resize: 167.50566101
Element # 250 of CPU resize: 167.50566101
Element # 251 of GPU resize: 164.79956055
Element # 251 of CPU resize: 164.79956055
Element # 252 of GPU resize: 151.81987000
Element # 252 of CPU resize: 151.81987000
Element # 253 of GPU resize: 143.61531067
Element # 253 of CPU resize: 143.61531067
Element # 254 of GPU resize: 133.05979919
Element # 254 of CPU resize: 133.05979919
Element # 255 of GPU resize: 107.61616516
Element # 255 of CPU resize: 107.61616516
Element # 256 of GPU resize: 68.37136841
Element # 256 of CPU resize: 68.37136841
Element # 257 of GPU resize: 42.60209656
Element # 257 of CPU resize: 42.60209656
Element # 258 of GPU resize: 50.94419861
Element # 258 of CPU resize: 50.94419861
Element # 259 of GPU resize: 81.27236938
Element # 259 of CPU resize: 81.27236938
Element # 260 of GPU resize: 120.19485474
Element # 260 of CPU resize: 120.19485474
Element # 261 of GPU resize: 134.67903137
Element # 261 of CPU resize: 134.67903137
Element # 262 of GPU resize: 0.00000000
Element # 262 of CPU resize: 0.00000000
Element # 263 of GPU resize: 0.00000000
Element # 263 of CPU resize: 0.00000000
Element # 264 of GPU resize: 86.30744934
Element # 264 of CPU resize: 86.30744934
Element # 265 of GPU resize: 126.24588013
Element # 265 of CPU resize: 126.24588013
Element # 266 of GPU resize: 128.62770081
Element # 266 of CPU resize: 128.62770081
Element # 267 of GPU resize: 138.83926392
Element # 267 of CPU resize: 138.83926392
Element # 268 of GPU resize: 153.86569214
Element # 268 of CPU resize: 153.86569214
Element # 269 of GPU resize: 163.10974121
Element # 269 of CPU resize: 163.10974121
Element # 270 of GPU resize: 166.87448120
Element # 270 of CPU resize: 166.87448120
Element # 271 of GPU resize: 167.92546082
Element # 271 of CPU resize: 167.92546082
Element # 272 of GPU resize: 157.00112915
Element # 272 of CPU resize: 157.00112915
Element # 273 of GPU resize: 142.01429749
Element # 273 of CPU resize: 142.01429749
Element # 274 of GPU resize: 143.47158813
Element # 274 of CPU resize: 143.47158813
Element # 275 of GPU resize: 134.37173462
Element # 275 of CPU resize: 134.37173462
Element # 276 of GPU resize: 121.28907776
Element # 276 of CPU resize: 121.28907776
Element # 277 of GPU resize: 114.70478821
Element # 277 of CPU resize: 114.70478821
Element # 278 of GPU resize: 111.24536133
Element # 278 of CPU resize: 111.24536133
Element # 279 of GPU resize: 96.18624878
Element # 279 of CPU resize: 96.18624878
Element # 280 of GPU resize: 69.39100647
Element # 280 of CPU resize: 69.39100647
Element # 281 of GPU resize: 60.90597534
Element # 281 of CPU resize: 60.90597534
Element # 282 of GPU resize: 80.31057739
Element # 282 of CPU resize: 80.31057739
Element # 283 of GPU resize: 100.32313538
Element # 283 of CPU resize: 100.32313538
Element # 284 of GPU resize: 124.01029968
Element # 284 of CPU resize: 124.01029968
Element # 285 of GPU resize: 135.41047668
Element # 285 of CPU resize: 135.41047668
Element # 286 of GPU resize: 0.00000000
Element # 286 of CPU resize: 0.00000000
Element # 287 of GPU resize: 0.00000000
Element # 287 of CPU resize: 0.00000000
Element # 288 of GPU resize: 84.34896851
Element # 288 of CPU resize: 84.34896851
Element # 289 of GPU resize: 123.04943848
Element # 289 of CPU resize: 123.04943848
Element # 290 of GPU resize: 123.73484802
Element # 290 of CPU resize: 123.73484802
Element # 291 of GPU resize: 128.34651184
Element # 291 of CPU resize: 128.34651184
Element # 292 of GPU resize: 139.55816650
Element # 292 of CPU resize: 139.55816650
Element # 293 of GPU resize: 150.62391663
Element # 293 of CPU resize: 150.62391663
Element # 294 of GPU resize: 154.49136353
Element # 294 of CPU resize: 154.49136353
Element # 295 of GPU resize: 157.03942871
Element # 295 of CPU resize: 157.03942871
Element # 296 of GPU resize: 154.98416138
Element # 296 of CPU resize: 154.98416138
Element # 297 of GPU resize: 143.95066833
Element # 297 of CPU resize: 143.95066833
Element # 298 of GPU resize: 139.64767456
Element # 298 of CPU resize: 139.64767456
Element # 299 of GPU resize: 129.32530212
Element # 299 of CPU resize: 129.32530212
Element # 300 of GPU resize: 115.10025024
Element # 300 of CPU resize: 115.10025024
Element # 301 of GPU resize: 109.02581787
Element # 301 of CPU resize: 109.02581787
Element # 302 of GPU resize: 102.30824280
Element # 302 of CPU resize: 102.30824280
Element # 303 of GPU resize: 86.41055298
Element # 303 of CPU resize: 86.41055298
Element # 304 of GPU resize: 77.92364502
Element # 304 of CPU resize: 77.92364502
Element # 305 of GPU resize: 93.02352905
Element # 305 of CPU resize: 93.02352905
Element # 306 of GPU resize: 114.26754761
Element # 306 of CPU resize: 114.26754761
Element # 307 of GPU resize: 117.98899841
Element # 307 of CPU resize: 117.98899841
Element # 308 of GPU resize: 130.58677673
Element # 308 of CPU resize: 130.58677673
Element # 309 of GPU resize: 136.60397339
Element # 309 of CPU resize: 136.60397339
Element # 310 of GPU resize: 0.00000000
Element # 310 of CPU resize: 0.00000000
Element # 311 of GPU resize: 0.00000000
Element # 311 of CPU resize: 0.00000000
Element # 312 of GPU resize: 81.32923889
Element # 312 of CPU resize: 81.32923889
Element # 313 of GPU resize: 118.65734863
Element # 313 of CPU resize: 118.65734863
Element # 314 of GPU resize: 120.54643250
Element # 314 of CPU resize: 120.54643250
Element # 315 of GPU resize: 122.83808899
Element # 315 of CPU resize: 122.83808899
Element # 316 of GPU resize: 127.32130432
Element # 316 of CPU resize: 127.32130432
Element # 317 of GPU resize: 131.38696289
Element # 317 of CPU resize: 131.38696289
Element # 318 of GPU resize: 126.69865417
Element # 318 of CPU resize: 126.69865417
Element # 319 of GPU resize: 125.96719360
Element # 319 of CPU resize: 125.96719360
Element # 320 of GPU resize: 133.23855591
Element # 320 of CPU resize: 133.23855591
Element # 321 of GPU resize: 133.21699524
Element # 321 of CPU resize: 133.21699524
Element # 322 of GPU resize: 136.83409119
Element # 322 of CPU resize: 136.83409119
Element # 323 of GPU resize: 136.18966675
Element # 323 of CPU resize: 136.18966675
Element # 324 of GPU resize: 117.23551941
Element # 324 of CPU resize: 117.23551941
Element # 325 of GPU resize: 105.03579712
Element # 325 of CPU resize: 105.03579712
Element # 326 of GPU resize: 95.73323059
Element # 326 of CPU resize: 95.73323059
Element # 327 of GPU resize: 92.23078918
Element # 327 of CPU resize: 92.23078918
Element # 328 of GPU resize: 98.95310974
Element # 328 of CPU resize: 98.95310974
Element # 329 of GPU resize: 111.29043579
Element # 329 of CPU resize: 111.29043579
Element # 330 of GPU resize: 130.37826538
Element # 330 of CPU resize: 130.37826538
Element # 331 of GPU resize: 135.31132507
Element # 331 of CPU resize: 135.31132507
Element # 332 of GPU resize: 140.16792297
Element # 332 of CPU resize: 140.16792297
Element # 333 of GPU resize: 137.29048157
Element # 333 of CPU resize: 137.29048157
Element # 334 of GPU resize: 0.00000000
Element # 334 of CPU resize: 0.00000000
Element # 335 of GPU resize: 0.00000000
Element # 335 of CPU resize: 0.00000000
Element # 336 of GPU resize: 78.39282227
Element # 336 of CPU resize: 78.39282227
Element # 337 of GPU resize: 114.33398438
Element # 337 of CPU resize: 114.33398438
Element # 338 of GPU resize: 116.86108398
Element # 338 of CPU resize: 116.86108398
Element # 339 of GPU resize: 119.09548950
Element # 339 of CPU resize: 119.09548950
Element # 340 of GPU resize: 121.00579834
Element # 340 of CPU resize: 121.00579834
Element # 341 of GPU resize: 121.40151978
Element # 341 of CPU resize: 121.40151978
Element # 342 of GPU resize: 115.88998413
Element # 342 of CPU resize: 115.88998413
Element # 343 of GPU resize: 110.29313660
Element # 343 of CPU resize: 110.29313660
Element # 344 of GPU resize: 108.57044983
Element # 344 of CPU resize: 108.57044983
Element # 345 of GPU resize: 99.18981934
Element # 345 of CPU resize: 99.18981934
Element # 346 of GPU resize: 107.14559937
Element # 346 of CPU resize: 107.14559937
Element # 347 of GPU resize: 128.38507080
Element # 347 of CPU resize: 128.38507080
Element # 348 of GPU resize: 118.20793152
